id,section,name,model_family,annotation,plot_role,selection_note,source
scgpt,Single-cell foundation,scGPT,Single-cell foundation model,"Contextual gene and cell representation with a perturbation-token route and a useful frozen-backbone probe.","Foundation model · representation + response","Keep tokenization, masking, perturbation head and pretraining overlap explicit.",https://github.com/bowang-lab/scGPT
geneformer-v1,Single-cell foundation,Geneformer V1,Rank-based transcriptomic model,"Historical pretrained transcriptomic reference for cell-state and perturbation-related representation studies.","Foundation model · pretrained reference","Use as a historical comparator; do not assume its task setup matches direct response predictors.",https://huggingface.co/ctheodoris/Geneformer
geneformer-v2-316m,Single-cell foundation,Geneformer V2 316M,Rank-based transcriptomic model,"Larger Geneformer release for testing whether scale and rank-based pretraining transfer to a downstream biology task.","Foundation model · scale variant","The public size/corpus record is stronger than the compatible perturbation score record.",https://huggingface.co/ctheodoris/Geneformer
scfoundation,Single-cell foundation,scFoundation,Large single-cell foundation model,"Large pretrained gene representation commonly paired with a GEARS-style perturbation head.","Foundation model · representation + response","Separate the value of pretraining from the downstream head and disclose overlap and compute.",https://github.com/biomap-research/scFoundation
cellplm,Single-cell foundation,CellPLM,Single-cell foundation model,"Cell-level pretrained representation with a public comparison table that is useful for transfer baselines.","Foundation model · cell representation","Check the supervised transfer protocol before comparing its score with zero-shot results.",https://github.com/OmicsML/CellPLM
uce,Single-cell foundation,UCE,Universal cell embedding,"Cross-species cell embedding with a strong integration-oriented role rather than a direct perturbation-response decoder.","Foundation model · integration / embedding","Treat integration and biology scores as distinct endpoints from perturbation prediction.",https://github.com/snap-stanford/UCE
scbert,Single-cell foundation,scBERT,Single-cell transformer,"Compact transformer reference for cell-type annotation and transcriptomic representation.","Foundation model · compact reference","Useful as a lower-scale baseline; compatible perturbation evidence is limited in this snapshot.",https://github.com/TencentAILabHealthcare/scBERT
scmulan,Single-cell foundation,scMulan,Multimodal single-cell foundation model,"Large multimodal single-cell model positioned for annotation, integration and zero-shot representation use.","Foundation model · multimodal","Keep its broad capability claims separate from a common perturbation benchmark score.",https://github.com/cyxss/scMulan
genecompass,Single-cell foundation,GeneCompass,Gene-knowledge foundation model,"Knowledge-enhanced transcriptomic model with a large human/mouse corpus and biology-prior orientation.","Foundation model · knowledge enhanced","Audit how gene knowledge and corpus overlap affect any downstream perturbation result.",https://github.com/xCompass-AI/GeneCompass
scprint,Single-cell foundation,scPRINT,Large single-cell foundation model,"Large pretrained model for cell representation and annotation-oriented transfer across public atlases.","Foundation model · atlas scale","Use only with a pinned task protocol; the current plot has no compatible response score.",https://github.com/cantinilab/scPRINT
cellfm,Single-cell foundation,CellFM,Large-scale single-cell foundation model,"Large-scale cell foundation model with public annotation evidence and a separate full-checkpoint size record.","Foundation model · scale + annotation","Do not treat the 80M evaluation checkpoint and 800M full model as the same plotted quantity.",https://github.com/biomed-AI/CellFM
