priority,name,year,kind,best_for,evidence,status,pros,cons,next_verification,public_sources
P0,scBench,2024–2026,Single-cell workflow benchmark,Concrete scRNA-seq analysis tasks with checkable outputs,Public executable benchmark with 195 workflow problems and deterministic grading,Public benchmark anchor,"Narrow concrete and reproducible; directly useful for agent selection","Does not cover the full scientific-quality safety or biological-validity envelope","Pair task accuracy with failure taxonomy data leakage checks and biological correctness review",https://github.com/latchbio/scbench
P0,BixBench,2025,Computational-biology agent benchmark,Long multi-step dataset exploration and interpretation,Public benchmark built from real notebook-derived computational-biology tasks,Public benchmark; execution required,"Tests exploration code execution hypothesis generation and validation in one trajectory","Costly to reproduce and broader than single-cell perturbation; environment parity matters","Log tool permissions environment versions intermediate artifacts and biological validity separately",https://github.com/Future-House/BixBench | https://arxiv.org/abs/2503.00096
P0,BioAgent Bench,2026,End-to-end bioinformatics benchmark,Pipeline completion and robustness to corrupted inputs decoys and prompt bloat,"Public repository contains task-specific data truth files Dockerfiles and run scripts; the benchmark warns that truth quality varies by task",Public benchmark; verification required,"Concrete output artifacts and adversarial robustness tests across multiple bioinformatics areas","Broad rather than sc-specific; LLM judging and reference-data assumptions add another evidence layer","Audit task-level truth provenance and score exact-match scientific validity and robustness separately",https://github.com/bioagent-bench/bioagent-bench | https://arxiv.org/abs/2601.21800
P1,PromptBio-Bench,2026,Bioinformatics agent benchmark,End-to-end data-analysis agents under a standardized prompt/task interface,Public bioRxiv record; full benchmark details and release status should be verified before use,Emerging preprint; verify release,Directly aligned with agentic bioinformatics analysis and community tracking,"Preprint and access status can change; title or abstract is not validated benchmark evidence","Confirm public task files scoring protocol environment and baseline agents",https://www.biorxiv.org/content/10.64898/2026.05.05.723092v1
P1,LAB-Bench,2024,Broad biology capability benchmark,Literature figures databases and sequence reasoning pre-screening,Public benchmark and paper cover multiple biology reasoning categories,Public knowledge benchmark,Broad biology coverage and useful pre-screen for knowledge/reasoning capability,"Mostly question answering; weak evidence for reproducible tool execution or safe pipeline operation","Use only as a knowledge layer before workflow benchmarks and record category-level scores",https://github.com/Future-House/lab-bench | https://arxiv.org/abs/2407.10362
P1,ClawBio,2025–2026,Local-first skill library and MCP server,Reusable bioinformatics skills in a local auditable tool loop,Public repository and MCP documentation; execution/tool layer rather than standardized performance benchmark,Public tool layer; heterogeneous maturity,"Modular skills local-first option MCP compatibility and reproducibility-oriented packaging","Skill quality varies; hosted/API integrations require separate privacy and provenance review","Version each skill record input/output contracts and evaluate with workflow benchmark tasks",https://github.com/ClawBio/ClawBio | https://docs.clawbio.ai/reference/mcp
P0,Biomni,2025,General biomedical AI agent,Broad biomedical planning retrieval tool use and code-based execution,Public repository and bioRxiv preprint describe a general-purpose biomedical agent with retrieval planning and code execution,Public system; safety review required,Broad biomedical action space and public agent implementation,"Large environment and data-lake dependencies; repository warns about broad system privileges and integrated-tool license boundaries",Map Biomni to scBench BixBench and BioAgent Bench while recording sandbox permissions and provenance,https://github.com/snap-stanford/Biomni | https://doi.org/10.1101/2025.05.30.656746
P1,FlowAgent,2026,Multi-agent workflow framework,Reproducible planning recovery execution and interpretation of bioinformatics pipelines,Public repository documents reproducible Benchmarks A–M for planning recovery generation execution fidelity and interpretation,Public framework + benchmarks,Decomposable workflow layers and explicit benchmark artifacts for plan and output quality,"Framework self-benchmarks need external validation; execution modes and APIs add environment complexity",Compare task-level outputs on a fixed public benchmark and separate framework gains from backbone-model effects,https://github.com/EnteloBio/flowagent
P1,GoekeLab awesome-genomic-skills,2025–2026,Curated skill/MCP catalog,Discovering bioinformatics-native skills MCP servers and benchmark links,Public GitHub catalog curates agentic skills MCPs and benchmarks across genomics and bioinformatics,Public catalog; not a performance benchmark,Broad discovery coverage and direct links to reusable public resources,"Curation is heterogeneous; inclusion does not validate skill quality safety or reproducibility",Version each selected skill and evaluate it with workflow and safety benchmarks,https://github.com/GoekeLab/awesome-genomic-skills
P1,BioSkillSafety,2026,Agent-skill safety benchmark,Stress-testing skill-based agents against bioinformatics-specific safety failures,Public OpenReview preprint proposes a six-layer taxonomy and adversarial evaluation across biomedical skill repositories,Emerging preprint; source-reported,Makes safety and skill misuse explicit rather than treating task accuracy as sufficient,"Preprint evidence; adversarial cases and judge protocol need independent audit",Extract the attack taxonomy and map it to tool permissions abstention and audit-log requirements,https://openreview.net/pdf?id=fa4Obft2xN
