source_id,source_name,source_type,public_urls,access_date,publication_status,evidence_status,public_artifacts,role,verification_note
SR-01,Awesome single-cell foundation-model catalog,Living catalog,https://github.com/OmicsML/awesome-foundation-model-single-cell-papers,2026-09-08,Public GitHub list,Discovery index,Paper repository and dataset links,Broad model discovery,Use as a map only; promote entries after primary-source and protocol review.
SR-02,scPerturBench,Benchmark suite,https://github.com/bm2-lab/scPerturBench | https://pubmed.ncbi.nlm.nih.gov/41381899/,2026-09-08,Nature Methods plus public repository,Published + public code,Code results and linked data archives,Stage 1 common-suite anchor,Pin the release and retain dataset scenario and metric boundaries.
SR-03,Systema,Anti-shortcut protocol,https://github.com/mlbio-epfl/systema | https://www.nature.com/articles/s41587-025-02777-8,2026-09-08,Nature Biotechnology plus public repository,Published + public code,Paper code and split instructions,Perturbation-specific effect guardrail,Use perturbed-reference metrics and simple perturbed-mean controls before reading model deltas.
SR-04,PertEval-scFM / PertEval,Representation benchmark,https://proceedings.mlr.press/v267/wenteler25a.html | https://github.com/aaronwtr/PertEval,2026-09-08,PMLR paper plus public repository,Published + public code,Paper code and protocol-linked inputs,Frozen scFM embedding probes,Keep probe capacity decoder choice and pretraining overlap explicit.
SR-05,PerturBench,Benchmarking framework,https://github.com/altoslabs/perturbench | https://openreview.net/forum?id=PPPDuyiZaG,2026-09-08,Public paper and repository,Public framework,Code and linked processed datasets,Reusable evaluation harness,Treat framework outputs as configuration-specific rather than one universal score.
SR-06,Cell-Eval,Distributional evaluator,https://github.com/ArcInstitute/cell-eval,2026-09-08,Public repository,Public evaluator,Code and evaluator documentation,Set- and distribution-level responses,Record the metric profile and empirical ceiling for every future evaluation.
SR-07,scPertEval,Protocol and calibration toolkit,https://github.com/Virtual-Cell-Research-Community/scPertEval | https://github.com/Virtual-Cell-Research-Community/scPertEval/blob/main/docs/user-guide/datasets.md,2026-09-08,Public preprint repository and dataset guide,Public protocol + code,Code protocol notes and public dataset guide,Metric calibration and reporting,Use for protocol selection; do not copy linked data into this site.
SR-08,GEARS,Perturbation-response model,https://github.com/snap-stanford/GEARS | https://www.nature.com/articles/s41587-023-01905-6,2026-09-08,Nature Biotechnology plus public repository,Published + public code,Paper code and public study references,Canonical genetic baseline,Original results are reading anchors; common-protocol comparison still needs split alignment.
SR-09,CPA / chemCPA,Compositional response model,https://pmc.ncbi.nlm.nih.gov/articles/PMC10258562/ | https://github.com/theislab/chemCPA,2026-09-08,Peer-reviewed paper plus public repository,Published + public code,Paper code and linked study datasets,Dose context and intervention composition,Pin normalization dose and context holdouts before comparing source-reported values.
SR-10,Tahoe-100M,Perturbation atlas,https://github.com/ArcInstitute/arc-virtual-cell-atlas/blob/main/tahoe-100M/README.md | https://huggingface.co/datasets/tahoebio/Tahoe-100M,2026-09-08,Public data landing pages,Public dataset access,Public README and linked dataset access,Large chemical/context benchmark candidate,Track access compute requirements and pretraining overlap; this site stores links only.
